Id,BaseScript,EndScript,Roles,EventName,ChoiceCount,ChoiceScript1,ChoiceScript2
对话Id,初始脚本,对话结束时执行,"出现的角色Id，说话者用<>包括，用,分割",何时执行对话（事件名）,选项数量,选项脚本,
1,,,role_narrator,StartTutorial,0,,
2,,,role_narrator,,0,,
3,,,role_narrator,,0,,
4,,,role_narrator,,1,"ShowDialogue(""StartTutorial_5"");",
5,,,role_narrator,,0,,
6,,,role_narrator,,0,,
7,,,role_Krisna,,0,,
8,,,role_amelia,,0,,
9,,,role_Krisna,,2,"ShowDialogue(""StartTutorial_10"");","ShowDialogue(""StartTutorial_10"");"
10,,,role_Krisna,,0,,
11,,,role_amelia,,0,,
12,,,role_Krisna,,0,,
13,,,role_amelia,,0,,
14,,,role_Krisna,,0,,
15,,,role_amelia,,0,,
16,,,role_Krisna,,0,,
17,,,role_narrator,,0,,
18,,,role_Krisna,,0,,
19,,,role_Krisna,,0,,
20,,,role_amelia,,0,,
21,,,role_narrator,,0,,
22,,,role_Krisna,,0,,
23,,,role_Krisna,,0,,
24,,,role_narrator,,0,,
25,,,role_amelia,,0,,
26,,,role_Krisna,,0,,
27,,,role_narrator,,0,,
28,,,role_narrator,,0,,
29,,,role_narrator,,2,"ShowDialogue(""StartTutorial_281"");","ShowDialogue(""StartTutorial_284"");"
281,,,role_narrator,,2,"ShowDialogue(""StartTutorial_291"");","ShowDialogue(""StartTutorial_282"");"
282,,,role_narrator,,2,"ShowDialogue(""StartTutorial_31"");","ShowDialogue(""StartTutorial_283"");"
283,,,role_narrator,,2,"ShowDialogue(""StartTutorial_35"");","ShowDialogue(""StartTutorial_39"");"
284,,,role_narrator,,2,"ShowDialogue(""StartTutorial_49"");","ShowDialogue(""StartTutorial_43"");"
291,,"ShowDialogue(""StartTutorial_30"");",role_Krisna,,0,,
30,,"ShowDialogue(""StartTutorial_29"");",role_Krisna,,0,,
31,,,role_Krisna,,0,,
32,,,role_Krisna,,0,,
33,,,role_amelia,,0,,
34,,"ShowDialogue(""StartTutorial_29"");",role_Krisna,,0,,
35,,,role_Krisna,,0,,
36,,,role_amelia,,0,,
37,,,role_Krisna,,0,,
38,,"ShowDialogue(""StartTutorial_29"");",role_amelia,,0,,
39,,,role_Krisna,,0,,
40,,,role_narrator,,0,,
41,,,role_Krisna,,0,,
42,,"ShowDialogue(""StartTutorial_29"");",role_amelia,,0,,
43,,,role_amelia,,0,,
44,,,role_amelia,,0,,
45,,,role_amelia,,0,,
46,,,role_Krisna,,0,,
47,,,role_Krisna,,0,,
48,,PlayerInfo.QuitAndDeleteSave();,role_Krisna,,0,,
49,,,role_Krisna,,0,,
50,,,role_Krisna,,0,,
51,,,role_narrator,,0,,
52,,,role_Krisna,,0,,
53,,,role_amelia,,0,,
54,,,role_narrator,,0,,
55,,,role_Krisna,,0,,
56,,,role_narrator,,0,,
