Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,可可画的这么好看，可不可以也给我画一张，让我拿来收藏呀？,可可畫得這麼好看，可不可以也給我畫一張，讓我拿來收藏呀？,"Coco, your drawings are so pretty. Could you draw one for me too, so I can keep it?",ココの絵はこんなに上手いんだから、私にも一枚描いてくれない？コレクションにしたいの。,,,,,,,,
2,可以哦。,可以哦。,Sure.,いいよ。,,,,,,,,
3,好耶~,好耶～,Yay~,やった～,,,,,,,,
4,（可可伸出了一只手）,（可可伸出了一隻手）,(Coco held out one hand.),（ココは片手を差し出した）,,,,,,,,
5,诶？看在咱们这么熟的份上，不能考虑免费帮我画一张嘛？,誒？看在咱們這麼熟的份上，不能考慮免費幫我畫一張嘛？,"Huh? Since we know each other so well, could you consider drawing one for free?",え？こんなに仲がいいんだから、無料で一枚描いてくれたりしない？,,,,,,,,
6,不——行——！,不——行——！,No-way!,だ――め――！,,,,,,,,
7,拒绝的好坚定……都有点不像可可了,拒絕得好堅定……都有點不像可可了。,That was such a firm refusal... It almost did not sound like you.,すごくきっぱり断ったね……ちょっとココらしくないくらい。,,,,,,,,
8,这是职业原则问题，不可以白嫖！,這是職業原則問題，不可以白嫖！,This is a matter of professional principle. No freeloading!,これは職業上の原則の問題です。ただ乗りはだめです！,,,,,,,,
9,可是在魔女屋，好像也没有什么用得上钱的地方吧？金币付款真的有什么意义吗？,可是在魔女屋，好像也沒有什麼用得上錢的地方吧？金幣付款真的有什麼意義嗎？,"But in the Witch House, is there even anywhere to spend money? Does paying in gold really mean anything?",でも魔女の家って、お金を使う場所がほとんどないよね？金貨で支払う意味って本当にあるの？,,,,,,,,
10,这个……,這個……,Well...,それは……,,,,,,,,
11,（可可似乎陷入了左右纠结的状态）,（可可似乎陷入了左右糾結的狀態）,(Coco seemed caught in a dilemma.),（ココは迷いに迷っているようだった）,,,,,,,,
12,那……那这次就免费吧！仅限这次哦！,那……那這次就免費吧！僅限這次哦！,Th-then... this time it is free! Just this once!,じゃ……じゃあ今回は無料で！今回だけだからね！,,,,,,,,
13,爱你哦~可可~,愛你哦～可可～,"Love you, Coco~",大好きだよ～ココ～,,,,,,,,
14,> <,> <,> <,> <,,,,,,,,
