Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,可可？在愁什么吗？,可可？在愁什麼嗎？,Coco? Are you worried about something?,ココ？何か悩んでるの？,,,,,,,,
2,啊，阿米莉娅姐姐。我正在正思考新作漫画的大纲，但是主角人设一直没定下来……,啊，阿米莉婭姐姐。我正在思考新作漫畫的大綱，但是主角人設一直沒定下來……,"Ah, Amelia. I am thinking about the outline for my new manga, but I still cannot settle on the main character design...",あ、アメリアお姉ちゃん。新作漫画のあらすじを考えているんだけど、主人公の設定がなかなか決まらなくて……,,,,,,,,
3,唔……可可想画的是一部什么样的漫画呢？,唔……可可想畫的是一部什麼樣的漫畫呢？,"Hmm... What kind of manga do you want to draw, Coco?",うーん……ココはどんな漫画を描きたいの？,,,,,,,,
4,（两人进行了长达两个小时的激烈的创作理念探讨）,（兩人進行了長達兩個小時的激烈創作理念探討）,(The two held an intense two-hour discussion about creative philosophy.),（二人は二時間にわたって、創作理念について激しく語り合った）,,,,,,,,
5,终、终于定下来了……！,終、終於定下來了……！,W-we finally decided...!,よ、ようやく決まった……！,,,,,,,,
6,白色卷曲的长发……！,白色捲曲的長髮……！,"Long, curly white hair...!",白くて巻いた長い髪……！,,,,,,,,
7,灵动的猫耳和红色的尾巴……！,靈動的貓耳和紅色的尾巴……！,Lively cat ears and a red tail...!,よく動く猫耳と赤い尻尾……！,,,,,,,,
8,优雅的黑丝和不屑的眼神……！,優雅的黑絲和不屑的眼神……！,Elegant black stockings and a disdainful gaze...!,優雅な黒ストッキングと見下すような目つき……！,,,,,,,,
9,还有那标志性的极具反差的大帽子……！,還有那標誌性的極具反差的大帽子……！,"And that iconic, wonderfully contrasting big hat...!",それに、あの象徴的でギャップのある大きな帽子……！,,,,,,,,
10,等下……？这不就是我？,等下……？這不就是我？,Wait...? Is that not me?,待って……？それって私じゃない？,,,,,,,,
11,好像是？,好像是？,Maybe?,そうかも？,,,,,,,,
12,好像什么啊！完全一模一样好嘛！,好像什麼啊！完全一模一樣好嘛！,What do you mean maybe? It is exactly the same!,そうかもじゃない！完全にそのままでしょ！,,,,,,,,
13,那、那阿米莉娅姐姐……来当我的绘画模特好不好……？,那、那阿米莉婭姐姐……來當我的繪畫模特好不好……？,"Th-then, Amelia... would you be my drawing model...?",じゃ、じゃあアメリアお姉ちゃん……私の絵のモデルになってくれない……？,,,,,,,,
14,嗯……可以是可以，但不能让我无偿当苦力哦？不可以白嫖~,嗯……可以是可以，但不能讓我無償當苦力哦？不可以白嫖～,"Hmm... I can, but you cannot make me work for free, okay? No freeloading~",うーん……いいけど、無償で働かせるのはだめだよ？ただ乗りは禁止～,,,,,,,,
15,（可可摸了摸衣服，发现口袋里只剩下一枚金币）,（可可摸了摸衣服，發現口袋裡只剩下一枚金幣）,(Coco felt through her clothes and found only one gold coin left in her pocket.),（ココは服を探り、ポケットに金貨が一枚しか残っていないことに気づいた）,,,,,,,,
16,（可可双手托举这枚金币到阿米莉娅面前）,（可可雙手托舉這枚金幣到阿米莉婭面前）,(Coco held the gold coin up to Amelia with both hands.),（ココは両手でその金貨をアメリアの前に差し出した）,,,,,,,,
17,对不起阿米莉娅姐姐……！我、我全部的积蓄除了这身衣服和画笔之外，就只剩下这枚金币了……,對不起阿米莉婭姐姐……！我、我全部的積蓄除了這身衣服和畫筆之外，就只剩下這枚金幣了……,"I am sorry, Amelia...! A-all my savings, besides these clothes and my brushes, are just this one gold coin...",ごめんなさい、アメリアお姉ちゃん……！わ、私の全財産は、この服と絵筆を除けば、この金貨一枚だけなの……,,,,,,,,
18,啊不不不不，我随口说说开玩笑的，我怎么可能跟可可要报酬呢？不如说能成为可可作品的主角，原初魔女荣幸之至——,啊不不不不，我隨口說說開玩笑的，我怎麼可能跟可可要報酬呢？不如說能成為可可作品的主角，原初魔女榮幸之至——,"Ah, no no no no, I was just joking. How could I ask you for payment, Coco? In fact, becoming the star of your work is an honor for the Primordial Witch-",あ、違う違う違う、ただの冗談だよ。ココから報酬なんてもらうわけないでしょ？むしろココの作品の主人公になれるなんて、原初の魔女として光栄の至りで――,,,,,,,,
19,阿米莉娅姐姐……,阿米莉婭姐姐……,Amelia...,アメリアお姉ちゃん……,,,,,,,,
20,可可乖哦~我们一起把作品做好吧！,可可乖哦～我們一起把作品做好吧！,"Good girl, Coco~ Let us make this work great together!",いい子だね、ココ～ 一緒にいい作品を作ろう！,,,,,,,,
