Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,（阿米莉娅坐在桌边，指尖捏着一张崭新的信纸，低头静静读着来信）,（阿米莉婭坐在桌邊，指尖捏著一張嶄新的信紙，低頭靜靜讀著來信）,"(Amelia sat by the table, holding a fresh sheet of letter paper between her fingers and quietly reading it.)",（アメリアは机のそばに座り、真新しい便箋を指先でつまみ、静かに手紙を読んでいる）,,,,,,,,
2,这是……阿米莉娅酱？有人给你写信？,這是……阿米莉婭醬？有人給你寫信？,Is that... Amelia? Someone wrote you a letter?,それは……アメリアちゃん？誰かから手紙？,,,,,,,,
3,唉……嗯。你自己看吧。,唉……嗯。你自己看吧。,Sigh... Yes. Read it yourself.,はぁ……うん。自分で見て。,,,,,,,,
4,（克莉斯娜接过信纸）,（克莉斯娜接過信紙）,(Krisna took the letter.),（クリスナは便箋を受け取った）,,,,,,,,
5,“致 原初魔女：薇薇安邀约阿米莉娅，明日午时结伴，一同歇息就寝。薇薇安。”,「致 原初魔女：薇薇安邀約阿米莉婭，明日午時結伴，一同歇息就寢。薇薇安。」,"""To the Primordial Witch: Vivian invites Amelia to accompany her tomorrow at noon, so they may rest and sleep together. Vivian.""",「原初の魔女へ：ヴィヴィアンはアメリアを明日の正午に誘い、共に休み、就寝することを望みます。ヴィヴィアン」,,,,,,,,
6,……噗！,……噗！,...Pfft!,……ぷっ！,,,,,,,,
7,哈哈哈哈哈哈！,哈哈哈哈哈哈！,Hahahahaha!,あははははは！,,,,,,,,
8,各种各样的魔女我也见得多了，还是第一次见特意提前写信约人睡觉的！,各種各樣的魔女我也見得多了，還是第一次見特意提前寫信約人睡覺的！,"I have met all kinds of witches, but this is the first time I have seen one write a formal letter in advance to invite someone to sleep!",色々な魔女を見てきたけど、寝る約束のためにわざわざ事前に手紙を書く子は初めて見たよ！,,,,,,,,
9,大概是我的耳朵让薇薇安错把我也认成同族了吧？,大概是我的耳朵讓薇薇安錯把我也認成同族了吧？,Maybe my ears made Vivian mistake me for one of her kind too?,たぶん私の耳のせいで、ヴィヴィアンが私のことも同族だと勘違いしたんじゃない？,,,,,,,,
10,这不是挺好的嘛？前几天你们还在一起互相喵喵叫来着，哈哈哈哈！,這不是挺好的嘛？前幾天你們還在一起互相喵喵叫來著，哈哈哈哈！,"Is that not nice? Just the other day you two were meowing at each other, hahahaha!",いいじゃない？この前だって二人でにゃあにゃあ鳴き合ってたし、あははは！,,,,,,,,
11,你这家伙，不许笑！,你這傢伙，不許笑！,"You jerk, stop laughing!",こら、笑うな！,,,,,,,,
