Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,唉…………………,唉…………………,Sigh................,はぁ…………………,,,,,,,,
2,怎么了？一副中奖彩票发现过期了的表情,怎麼了？一副發現中奖彩票過期了的表情。,What is wrong? You look like you found out your winning lottery ticket expired.,どうしたの？当たりくじが期限切れだったと気づいたみたいな顔をして。,,,,,,,,
3,没什么，只是稍微有点儿麻烦事,沒什麼，只是稍微有點兒麻煩事。,Nothing. Just a little trouble.,何でもない。ただ少し面倒なことがあって。,,,,,,,,
4,哦？居然还会有能让你感到手足无措的事情？说来听听？,哦？居然還會有能讓你感到手足無措的事情？說來聽聽？,Oh? There is actually something that can leave you at a loss? Tell me.,へえ？あなたを困らせることなんてあるんだ？聞かせて？,,,,,,,,
5,最近……魔女屋的食物支出一天比一天高，再这样下去……这个月的后勤预算就要超支了,最近……魔女屋的食物支出一天比一天高，再這樣下去……這個月的後勤預算就要超支了。,Recently... the Witch House's food expenses have been rising day by day. At this rate... this month's logistics budget will be exceeded.,最近……魔女の家の食費が日に日に増えている。このままだと……今月の後方支援予算を超過してしまう。,,,,,,,,
6,？我们就这么几号人都能把你吃破产？天界有这么穷吗？,？我們就這麼幾號人都能把你吃破產？天界有這麼窮嗎？,"? There are only a few of us, and we can eat you into bankruptcy? Is Heaven that poor?",？私たち数人だけで破産するほど食べるの？天界ってそんなに貧しいの？,,,,,,,,
7,是我说明不足。食物支出大幅度增加是因为仓库的食物一直在被偷吃,是我說明不足。食物支出大幅度增加是因為倉庫的食物一直在被偷吃。,I did not explain clearly. Food expenses have risen sharply because food in the warehouse keeps being stolen and eaten.,説明が足りなかった。食費が大幅に増えているのは、倉庫の食料がずっと盗み食いされているから。,,,,,,,,
8,……我们这里的生态位没有老鼠的容身之所吧？,……我們這裡的生態位沒有老鼠的容身之所吧？,"...There is no ecological niche here for mice, right?",……ここにはネズミが生きられる生態的な居場所なんてないよね？,,,,,,,,
9,那倒不是老鼠。额……偷吃仓库的家伙的饭量应该至少有老鼠的三千倍以上,那倒不是老鼠。呃……偷吃倉庫的傢伙的飯量應該至少有老鼠的三千倍以上。,It is not a mouse. Uh... the one stealing from the warehouse probably eats at least three thousand times as much as a mouse.,ネズミではないよ。ええと……倉庫で盗み食いしている相手の食事量は、少なくともネズミの三千倍以上かな。,,,,,,,,
10,……请不要让我联想到不好的东西。,……請不要讓我聯想到不好的東西。,...Please do not make me imagine something awful.,……嫌なものを想像させないで。,,,,,,,,
11,而且就算是三千只老鼠对你也造不成什么威胁吧？消灭掉不就好了？,而且就算是三千隻老鼠對你也造不成什麼威脅吧？消滅掉不就好了？,"Besides, even three thousand mice would not threaten you, right? Just get rid of them.",それに、三千匹のネズミだってあなたの脅威にはならないでしょ？倒せばいいじゃない。,,,,,,,,
12,阿米莉娅酱……不是什么都能用蛮力解决的哦,阿米莉婭醬……不是什麼都能用蠻力解決的哦。,Amelia... not everything can be solved with brute force.,アメリアちゃん……何でも力ずくで解決できるわけじゃないんだよ。,,,,,,,,
13,莫名其妙被教育了,莫名其妙被教育了。,I got lectured out of nowhere.,なぜか説教された。,,,,,,,,
14,（生气）,（生氣）,(Angry),（怒り）,,,,,,,,
15,总之我会解决这个问题的……,總之我會解決這個問題的……,"In any case, I will solve this problem...",とにかく、この問題は私が解決する……,,,,,,,,
16,在“老鼠”把我们吃破产之前。,在「老鼠」把我們吃破產之前。,"Before the ""mouse"" eats us into bankruptcy.",「ネズミ」に私たちが食い潰される前に。,,,,,,,,
