Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,（一只身穿哥特风格服饰的猫娘，此时正在塔内的高处休憩）,（一隻身穿哥德風格服飾的貓娘，此時正在塔內的高處休憩）,(A catgirl in gothic clothing was resting high up inside the tower.),（ゴシック風の服を着た猫娘が、塔の高い場所で休んでいた）,,,,,,,,
2,……？,……？,...?,……？,,,,,,,,
3,（阿米莉娅向对方挥了挥手，猫娘摇了摇尾巴，舔舔手，注视着阿米莉娅）,（阿米莉婭向對方揮了揮手，貓娘搖了搖尾巴，舔舔手，注視著阿米莉婭）,"(Amelia waved to her. The catgirl swished her tail, licked her hand, and stared at Amelia.)",（アメリアが相手に手を振ると、猫娘は尻尾を揺らし、手を舐めながらアメリアを見つめた）,,,,,,,,
4,喵？,喵？,Meow?,にゃ？,,,,,,,,
5,……喵。,……喵。,...Meow.,……にゃ。,,,,,,,,
6,（原来是用喵星语沟通的魔女吗）,（原來是用喵星語溝通的魔女嗎）,(So she is a witch who communicates in Meow language?),（にゃん語で意思疎通する魔女なのかな）,,,,,,,,
7,喵喵，喵~,喵喵，喵～,"Meow meow, meow~",にゃにゃ、にゃ～,,,,,,,,
8,……喵喵？,……喵喵？,...Meow meow?,……にゃにゃ？,,,,,,,,
9,喵喵喵～,喵喵喵～,Meow meow meow~,にゃにゃにゃ～,,,,,,,,
10,喵——,喵——,Meow-,にゃ――,,,,,,,,
11,（虽然能听懂，但是这样说话感觉好累啊……只能用一个发音什么的）,（雖然能聽懂，但是這樣說話感覺好累啊……只能用一個發音什麼的）,"(I can understand her, but talking like this feels exhausting... using only one sound and all.)",（聞き取れるけど、こうやって話すのはすごく疲れる……一つの発音だけで話すなんて）,,,,,,,,
