Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,说起来……“魅魔”，究竟是什么？,說起來……「魅魔」，究竟是什麼？,Speaking of which... what exactly is a succubus?,そういえば……「サキュバス」って、結局何なの？,,,,,,,,
2,这要看你问的是“魅魔”，还是那个“帕梅拉”了。,這要看你問的是「魅魔」，還是那個「帕梅拉」了。,"That depends on whether you are asking about succubi, or about Pamela herself.",それは「サキュバス」について聞いているのか、それともあの「パメラ」について聞いているのかによるね。,,,,,,,,
3,这有什么区别吗？帕梅拉不就是魅魔吗？,這有什麼區別嗎？帕梅拉不就是魅魔嗎？,Is there a difference? Is Pamela not a succubus?,違いがあるの？パメラはサキュバスじゃないの？,,,,,,,,
4,到了魔将这个等级，本身的实力已经足够摆脱种族的束缚了，比起“魅魔”，她身上更多的成分是属于“帕梅拉”的部分吧,到了魔將這個等級，本身的實力已經足夠擺脫種族的束縛了，比起「魅魔」，她身上更多的成分是屬於「帕梅拉」的部分吧。,"At the level of a Demon General, her own power is already enough to break free of racial limits. More than a succubus, what defines her is probably Pamela herself.",魔将ほどの階級になると、本人の実力だけで種族の束縛から抜け出せる。彼女の場合、「サキュバス」よりも「パメラ」本人の要素の方が大きいかな。,,,,,,,,
5,那就讲讲帕梅拉这个人？,那就講講帕梅拉這個人？,Then tell me about Pamela herself.,じゃあ、パメラという人物について話して。,,,,,,,,
6,那家伙比较复杂，用一句话概括的话，应该就类似于魔族的娱乐业寡头吧,那傢伙比較複雜，用一句話概括的話，應該就類似於魔族的娛樂業寡頭吧。,"She is complicated. In one sentence, she is probably something like an entertainment industry tycoon among demons.",あの子は複雑なんだよ。一言でまとめるなら、魔族の娯楽業界の寡頭みたいな存在かな。,,,,,,,,
7,就是和你差不多的意思？,就是和你差不多的意思？,So basically like you?,つまりあなたと似たようなもの？,,,,,,,,
8,怎么感觉我在阿米莉娅酱心里已经变成马戏团团长一样的存在了……,怎麼感覺我在阿米莉婭醬心裡已經變成馬戲團團長一樣的存在了……,Why do I feel like Amelia now sees me as some kind of circus ringmaster...,なんだかアメリアちゃんの中で、私はサーカス団長みたいな存在になっている気がする……,,,,,,,,
9,（叹气）,（嘆氣）,(Sigh),（ため息）,,,,,,,,
10,那还是要强一些的,那還是要強一些的。,She is still a bit stronger than that.,それよりは少し強いかな。,,,,,,,,
11,啊哈哈……我应该感到开心吗……？,啊哈哈……我應該感到開心嗎……？,Ahaha... Should I be happy about that...?,あはは……喜ぶべきなのかな……？,,,,,,,,
