Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,（展览馆的角落里，坐着一位小天使，白色的翅膀和光环，除了那枚胸口的眼睛，几乎和刻板印象中的天使别无二致）,（展覽館的角落裡，坐著一位小天使，白色的翅膀和光環，除了那枚胸口的眼睛，幾乎和刻板印象中的天使別無二致）,"(In a corner of the exhibition hall sat a little angel. With white wings and a halo, she looked almost exactly like the stereotypical angel, except for the eye on her chest.)",（展示館の隅に、小さな天使が座っていた。白い翼と光輪、胸元の目を除けば、典型的な天使のイメージそのものだった）,,,,,,,,
2,（此时小天使正在抱着一张画板画着什么）,（此時小天使正在抱著一張畫板畫著什麼）,(The little angel was holding a drawing board and sketching something.),（その小さな天使は画板を抱え、何かを描いていた）,,,,,,,,
3,你好……？,你好……？,Hello...?,こんにちは……？,,,,,,,,
4,咿……！,咿……！,Eek...!,ひゃ……！,,,,,,,,
5,不好意思吓到你了……,不好意思嚇到你了……,Sorry for scaring you...,驚かせてごめん……,,,,,,,,
6,没……没事，是我太沉迷了,沒……沒事，是我太沉迷了。,I-it is okay. I was just too absorbed.,だ……大丈夫です。私が夢中になりすぎていただけです。,,,,,,,,
7,我叫阿米莉娅，刚刚苏醒没多久，应该算是你的……同事？,我叫阿米莉婭，剛剛甦醒沒多久，應該算是你的……同事？,"My name is Amelia. I woke up not long ago, so I suppose I am your... coworker?",私はアメリア。目覚めてからまだあまり経っていないけど、たぶんあなたの……同僚？,,,,,,,,
8,阿米莉娅姐姐，主天使大人有跟我提起过您，我叫可可，是天界的见习天使，目前负责……,阿米莉婭姐姐，主天使大人有跟我提起過您，我叫可可，是天界的見習天使，目前負責……,"Amelia, the Archangel has told me about you. My name is Coco. I am an apprentice angel from Heaven, currently in charge of...",アメリアお姉ちゃん、主天使様からあなたのことは聞いています。私はココ、天界の見習い天使で、今は……,,,,,,,,
9,可可怀里抱着的是刚完工的漫画原稿？能不能借我看看？,可可懷裡抱著的是剛完工的漫畫原稿？能不能借我看看？,"Is that finished manga manuscript in your arms, Coco? Can I take a look?",ココが抱えているのは、描き上がったばかりの漫画原稿？ちょっと見せてくれる？,,,,,,,,
10,欸？这、这个……,欸？這、這個……,Huh? Th-this...,え？こ、これは……,,,,,,,,
11,这个我还没有画好很难看的！等、等人家画好了再给姐姐欣赏吧！,這個我還沒有畫好很難看的！等、等人家畫好了再給姐姐欣賞吧！,"It is not finished yet, so it looks awful! P-please wait until I finish it before you look!",これはまだ描き終わっていないから、すごく見苦しいんです！か、完成したらお姉ちゃんに見てもらいます！,,,,,,,,
12,这样啊，那好吧……,這樣啊，那好吧……,I see. All right then...,そっか。じゃあ仕方ないね……,,,,,,,,
13,嗯嗯！那姐姐先回去——,嗯嗯！那姐姐先回去——,Mm-hm! Then please head back first-,うんうん！じゃあお姉ちゃんは先に戻って――,,,,,,,,
14,等等，墙角那边好像窜过去一只老鼠？！,等等，牆角那邊好像竄過去一隻老鼠？！,"Wait, did a mouse just run past that corner?!",待って、壁際にネズミが走っていかなかった？！,,,,,,,,
15,老鼠？！,老鼠？！,A mouse?!,ネズミ？！,,,,,,,,
16,（可可下意识慌忙转头望向暗处。然而那角落空空荡荡，半点踪影都没有）,（可可下意識慌忙轉頭望向暗處。然而那角落空空蕩蕩，半點蹤影都沒有）,"(Coco instinctively turned in a panic toward the shadows. But the corner was empty, with no trace of anything.)",（ココは反射的に慌てて暗がりへ振り向いた。しかし、その隅は空っぽで、何の気配もなかった）,,,,,,,,
17,喔……喔。画的不错嘛，构图元素都挺大胆的，没想到可可喜欢的是这类题材……,喔……喔。畫得不錯嘛，構圖元素都挺大膽的，沒想到可可喜歡的是這類題材……,"Oh... oh. This is pretty good. The composition elements are bold. I did not expect you to like this kind of subject, Coco...",お……おお。なかなか上手いね。構図の要素も大胆だし、ココがこういう題材を好きだとは思わなかった……,,,,,,,,
18,——阿米莉娅姐姐！,——阿米莉婭姐姐！,-Amelia!,――アメリアお姉ちゃん！,,,,,,,,
