Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,嗯……,嗯……,Hmm...,うーん……,,,,,,,,
2,？,？,?,？,,,,,,,,
3,我突然发现，魔女屋的大家，好像都是白毛？这有什么讲究吗？,我突然發現，魔女屋的大家，好像都是白毛？這有什麼講究嗎？,I just realized everyone in the Witch House seems to have white hair. Is there a reason for that?,ふと気づいたんだけど、魔女の家のみんなって白髪が多くない？何か意味があるの？,,,,,,,,
4,如果我说这是某人的个人偏好？,如果我說這是某人的個人偏好？,What if I said it was someone's personal preference?,誰かの個人的な好みだと言ったら？,,,,,,,,
5,那还挺合理的。,那還挺合理的。,That would make sense.,それなら結構納得できる。,,,,,,,,
6,可惜并不是。,可惜並不是。,"Sadly, it is not.",残念ながら違うの。,,,,,,,,
7,啧……,嘖……,Tch...,ちぇっ……,,,,,,,,
8,其实是因为魔女化会导致还原……,其實是因為魔女化會導致還原……,It is actually because becoming a witch causes reversion...,実は、魔女化すると還元が起きるから……,,,,,,,,
9,还原？,還原？,Reversion?,還元？,,,,,,,,
10,奥尔德林人受到奥尔德林世界的影响，她们的灵魂或多或少会被“神明”改造，而一旦成为魔女……灵魂的管辖权就会从奥尔德林转移到天界,奧爾德林人受到奧爾德林世界的影響，她們的靈魂或多或少會被「神明」改造，而一旦成為魔女……靈魂的管轄權就會從奧爾德林轉移到天界。,"People of Aldrin are influenced by the world of Aldrin, and their souls are more or less reshaped by the ""gods."" Once they become witches... jurisdiction over their souls transfers from Aldrin to Heaven.",オルドリンの人々はオルドリン世界の影響を受け、魂が多かれ少なかれ「神」に改造される。そして魔女になると……魂の管轄権はオルドリンから天界へ移る。,,,,,,,,
11,这个过程中，绝大多数人的外貌都会发生改变，与其说是魔女化，不如说是变回了她们最初的样子,這個過程中，絕大多數人的外貌都會發生改變，與其說是魔女化，不如說是變回了她們最初的樣子。,"During that process, most people's appearances change. Rather than becoming witches, it is more like returning to their original form.",その過程で、ほとんどの人の外見は変化する。魔女化というより、彼女たち本来の姿に戻ると言った方が近いかな。,,,,,,,,
12,所以我们最初都是白毛……？,所以我們最初都是白毛……？,So we were all white-haired originally...?,つまり、私たちは最初から白髪だった……？,,,,,,,,
13,这个就请阿米莉娅酱当成是一种幸福的巧合吧~？,這個就請阿米莉婭醬當成是一種幸福的巧合吧～？,"Please just think of that as a happy coincidence, Amelia~",そこは幸せな偶然だと思っておいて、アメリアちゃん～？,,,,,,,,
