Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,可可……,可可……,Coco...,ココ……,,,,,,,,
2,怎么了？阿米莉娅姐姐,怎麼了？阿米莉婭姐姐。,"What is wrong, Amelia?",どうしたの？アメリアお姉ちゃん。,,,,,,,,
3,我又失败了……,我又失敗了……,I failed again...,また失敗しちゃった……,,,,,,,,
4,没关系没关系~阿米莉娅姐姐已经做得很好了~,沒關係沒關係～阿米莉婭姐姐已經做得很好了～,"It is okay~ You already did really well, Amelia~",大丈夫、大丈夫～ アメリアお姉ちゃんはもう十分頑張ったよ～,,,,,,,,
5,（可可张开双臂，想要抱住阿米莉娅）,（可可張開雙臂，想要抱住阿米莉婭）,"(Coco opened her arms, trying to hug Amelia.)",（ココは両腕を広げ、アメリアを抱きしめようとした）,,,,,,,,
6,（本来只是寻求安慰，如果被比自己年龄小的女孩子抱住还摸了头的话……）,（本來只是尋求安慰，如果被比自己年齡小的女孩子抱住還摸了頭的話……）,"(I only wanted some comfort, but if a younger girl hugs me and pats my head...)",（慰めてほしかっただけなのに、自分より年下の女の子に抱きしめられて頭まで撫でられたら……）,,,,,,,,
7,？,？,?,？,,,,,,,,
8,对、对不起……！我还没做好心理准备,對、對不起……！我還沒做好心理準備。,S-sorry...! I am not mentally ready yet.,ご、ごめん……！まだ心の準備ができてない。,,,,,,,,
9,（阿米莉娅跑了出去）,（阿米莉婭跑了出去）,(Amelia ran out.),（アメリアは走って出ていった）,,,,,,,,
10,…………？,…………？,...?,…………？,,,,,,,,
