Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,啊，阿米莉娅姐——,啊，阿米莉婭姐——,"Ah, Amelia-",あ、アメリアお姉――,,,,,,,,
2,（……咦？阿米莉娅姐姐在看书吗？那我还是小声一点吧）,（……咦？阿米莉婭姐姐在看書嗎？那我還是小聲一點吧）,(...Huh? Is Amelia reading? I should keep my voice down.),（……あれ？アメリアお姉ちゃん、本を読んでる？じゃあ静かにしよう）,,,,,,,,
3,（正当可可准备悄悄离开时——阿米莉娅帽角露出的一只猫耳忽然抖动了一下）,（正當可可準備悄悄離開時——阿米莉婭帽角露出的一隻貓耳忽然抖動了一下）,"(Just as Coco was about to quietly leave, one of the cat ears peeking from Amelia's hat suddenly twitched.)",（ココがそっと立ち去ろうとしたその時――アメリアの帽子の端からのぞく猫耳が、ぴくりと動いた）,,,,,,,,
4,（诶？那个是……阿米莉娅姐姐的耳朵吗？）,（誒？那個是……阿米莉婭姐姐的耳朵嗎？）,(Huh? Is that... Amelia's ear?),（え？あれは……アメリアお姉ちゃんの耳？）,,,,,,,,
5,（可可下意识的朝着那只猫耳伸出手去——）,（可可下意識地朝著那隻貓耳伸出手去——）,(Coco instinctively reached toward the cat ear-),（ココは思わず、その猫耳へ手を伸ばし――）,,,,,,,,
6,嗯？呀啊啊啊啊啊！,嗯？呀啊啊啊啊啊！,Hm? Eyaaahhhhh!,ん？きゃあああああ！,,,,,,,,
7,哇啊啊啊啊啊！,哇啊啊啊啊啊！,Waaaahhhhh!,わあああああ！,,,,,,,,
8,（过了一会）,（過了一會）,(A little later),（しばらくして）,,,,,,,,
9,对不起……,對不起……,I am sorry...,ごめんなさい……,,,,,,,,
10,唉……我的耳朵是很敏感的，有时候甚至会条件反射下意识的反击……,唉……我的耳朵是很敏感的，有時候甚至會條件反射下意識地反擊……,Sigh... My ears are very sensitive. Sometimes I even reflexively counterattack without thinking...,はぁ……私の耳はとても敏感なの。時々、反射的に無意識で反撃しちゃうくらい……,,,,,,,,
11,就像可可的光环一样……？,就像可可的光環一樣……？,Like Coco's halo...?,ココの光輪みたいに……？,,,,,,,,
12,嗯……应该？,嗯……應該？,Mm... probably?,うん……たぶん？,,,,,,,,
13,（等下，光环对于天使是很敏感的吗，那克莉斯娜……）,（等下，光環對於天使是很敏感的嗎，那克莉斯娜……）,"(Wait, are halos sensitive for angels? Then Krisna...)",（待って、天使にとって光輪って敏感なものなの？それならクリスナは……）,,,,,,,,
14,（一个邪恶的念头在阿米莉娅的心中升起）,（一個邪惡的念頭在阿米莉婭的心中升起）,(An evil idea rose in Amelia's mind.),（アメリアの心に邪悪な思いつきが浮かんだ）,,,,,,,,
