Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,欢迎回来~,歡迎回來～,Welcome back~,おかえり～,,,,,,,,
2,………………,………………,...,………………,,,,,,,,
3,在想什么呢~？,在想什麼呢～？,What are you thinking about~?,何を考えているの～？,,,,,,,,
4,我在想，在我沉睡的这段时间，发生过什么？,我在想，在我沉睡的這段時間，發生過什麼？,I am wondering what happened while I was asleep.,私が眠っていた間に、何が起きたのか考えていた。,,,,,,,,
5,这要从头讲起，就是一个很长的故事了。,這要從頭講起，就是一個很長的故事了。,"If I start from the beginning, it will be a very long story.",最初から話すと、とても長い話になるよ。,,,,,,,,
6,很久很久以前——,很久很久以前——,"A long, long time ago-",昔々――,,,,,,,,
7,停！挑重点说。,停！挑重點說。,Stop! Just the important parts.,待って！要点だけ話して。,,,,,,,,
8,该怎么说呢，那时候的阿米莉娅酱就像沉睡的睡美人，睡在水晶棺中，等待有缘之人前来唤醒。,該怎麼說呢，那時候的阿米莉婭醬就像沉睡的睡美人，睡在水晶棺中，等待有緣之人前來喚醒。,"How should I put it? Back then, Amelia was like Sleeping Beauty, asleep in a crystal coffin, waiting for the destined one to awaken her.",どう言えばいいかな。その頃のアメリアちゃんは眠れる森の美女みたいで、水晶の棺で眠り、縁ある人に起こされるのを待っていたんだ。,,,,,,,,
9,按照这个逻辑往下推，你是要当那个吻醒公主的王子吗？,按照這個邏輯往下推，你是要當那個吻醒公主的王子嗎？,"Following that logic, are you supposed to be the prince who wakes the princess with a kiss?",その理屈でいくと、あなたはキスで姫を起こす王子になるつもり？,,,,,,,,
10,也不是不可以？,也不是不可以？,I would not mind?,それも悪くないかも？,,,,,,,,
11,等哪天我转型成伊什塔尔，再考虑让你做公主的王子。,等哪天我轉型成伊什塔爾，再考慮讓你做公主的王子。,"When I transform into Ishtar someday, I will consider letting you be the princess's prince.",いつか私がイシュタルに転職したら、あなたを姫の王子にするか考えてあげる。,,,,,,,,
