Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,欢迎回来，阿米莉娅酱~,歡迎回來，阿米莉婭醬～,"Welcome back, Amelia~",おかえり、アメリアちゃん～,,,,,,,,
2,要先吃饭吗？先洗澡吗？,要先吃飯嗎？先洗澡嗎？,Would you like dinner first? Or a bath?,先にご飯にする？お風呂にする？,,,,,,,,
3,还是……先 吃 我？,還是……先 吃 我？,Or... me first?,それとも……先に 私 を 食 べ る？,,,,,,,,
4,先吃饭。,先吃飯。,Dinner first.,先にご飯。,,,,,,,,
5,诶……好难过，明明我每次都有好好地等你回来，结果你却总是对我冷冰冰的~,誒……好難過，明明我每次都有好好地等你回來，結果你卻總是對我冷冰冰的～,"Aww... That is so sad. I always wait properly for you to come back, but you are always so cold to me~",えぇ……悲しいな。私は毎回ちゃんと帰りを待っているのに、あなたはいつも私に冷たいんだもの～,,,,,,,,
6,难道是阿米莉娅酱已经不喜欢我了吗？,難道是阿米莉婭醬已經不喜歡我了嗎？,Could it be that Amelia does not like me anymore?,もしかしてアメリアちゃん、もう私のこと好きじゃないの？,,,,,,,,
7,…………,…………,...,…………,,,,,,,,
8,啊，言中了？,啊，言中了？,"Ah, did I hit the mark?",あ、図星？,,,,,,,,
9,不，我突然意识到，好像我不自觉的就变成了这个态度，为什么我会对认识没多久的人这么冷淡……,不，我突然意識到，好像我不自覺地就變成了這個態度，為什麼我會對認識沒多久的人這麼冷淡……,"No, I just realized I started acting like this without thinking. Why am I so cold to someone I have only known for a short time...",違う。今ふと気づいたんだけど、無意識にこの態度になっていたみたい。どうして知り合って間もない相手にこんなに冷たいんだろう……,,,,,,,,
10,那……？,那……？,Then...?,じゃあ……？,,,,,,,,
11,虽然说不清楚原因，但我总觉得……如果对你太好的话，你可能会上房揭瓦。,雖然說不清楚原因，但我總覺得……如果對你太好的話，你可能會上房揭瓦。,"I cannot explain why, but I feel like... if I am too nice to you, you will get completely out of hand.",理由はうまく言えないけど……あなたに優しくしすぎると、調子に乗って大変なことになりそうな気がする。,,,,,,,,
12,难道阿米莉娅酱宁愿相信那种毫无来由的感觉，也不愿意相信我吗？,難道阿米莉婭醬寧願相信那種毫無來由的感覺，也不願意相信我嗎？,Would Amelia rather trust that baseless feeling than trust me?,アメリアちゃんは、根拠のない感覚を信じて、私を信じてくれないの？,,,,,,,,
13,嗯。,嗯。,Yes.,うん。,,,,,,,,
14,QAQ,QAQ,QAQ,QAQ,,,,,,,,
