Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,喵？,喵？,Meow?,にゃ？,,,,,,,,
2,喵。,喵。,Meow.,にゃ。,,,,,,,,
3,喵喵~喵。,喵喵～喵。,Meow meow~ meow.,にゃにゃ～にゃ。,,,,,,,,
4,喵……喵，喵喵喵，喵,喵……喵，喵喵喵，喵。,"Meow... meow, meow meow meow, meow.",にゃ……にゃ、にゃにゃにゃ、にゃ。,,,,,,,,
5,（高塔的门被打开了，克莉斯娜走了进来）,（高塔的門被打開了，克莉斯娜走了進來）,"(The Tower door opened, and Krisna walked in.)",（高塔の扉が開き、クリスナが入ってきた）,,,,,,,,
6,薇薇安，待会儿记得帮我把东西搬到行政大厅哦？,薇薇安，待會兒記得幫我把東西搬到行政大廳哦？,"Vivian, remember to help me move the things to the Administration Hall later, okay?",ヴィヴィアン、後で荷物を行政ホールまで運ぶのを手伝ってね？,,,,,,,,
7,……收到。,……收到。,...Understood.,……了解。,,,,,,,,
8,阿米莉娅酱也在啊，怎么突然想起来用喵星语啦？,阿米莉婭醬也在啊，怎麼突然想起來用喵星語啦？,Amelia is here too? What made you suddenly decide to use Meow language?,アメリアちゃんもいたんだ。どうして急ににゃん語を使おうと思ったの？,,,,,,,,
9,我这边还有工作要忙，不能加入你们了，你们先聊着哈！,我這邊還有工作要忙，不能加入你們了，你們先聊著哈！,"I still have work to do, so I cannot join you. You two keep chatting!",私はまだ仕事があるから参加できないけど、二人で先に話していてね！,,,,,,,,
10,（克莉斯娜离开了）,（克莉斯娜離開了）,(Krisna left.),（クリスナは去っていった）,,,,,,,,
11,原来你会说人话吗……,原來你會說人話嗎……,So you can speak human language...,あなた、人の言葉を話せたんだ……,,,,,,,,
12,嗯、嗯……我以为是你不会……,嗯、嗯……我以為是你不會……,Y-yes... I thought you were the one who could not...,う、うん……あなたが話せないのかと思って……,,,,,,,,
13,……………………………………,……………………………………,........................,……………………………………,,,,,,,,
