Id,Text,Text_zh-Hant,Text_en,Text_ja,ChoiceText1,ChoiceText1_zh-Hant,ChoiceText1_en,ChoiceText1_ja,ChoiceText2,ChoiceText2_zh-Hant,ChoiceText2_en,ChoiceText2_ja
对话Id,对话正文,對話正文,Dialogue Text,对话正文,选项1文本,選項1文本,Choice 1 Text,选项1文本,,,,
1,呜~~哇……全是虫子，好恶心……你该不会有什么奇怪的异种族癖好吧……？,嗚~~哇……全是蟲子，好噁心……你該不會有什麼奇怪的異種族癖好吧……？,"Ugh~~ Whoa... bugs everywhere. Gross... You do not have some weird thing for other species, do you...?",うぅ～～わ……虫だらけ、気持ち悪い……まさか変な異種族趣味とかないよね……？,,,,,,,,
2,啊哈哈……其实这里好久没人住过了呢……没想到会被这群小家伙占领了……,啊哈哈……其實這裡好久沒人住過了呢……沒想到會被這群小傢伙佔領了……,"Ahaha... Actually, no one has lived here for a long time... I did not expect these little ones to take over...",あはは……実はここ、長い間誰も住んでいなかったからね……まさかこの小さな子たちに占領されるとは……,,,,,,,,
3,这些黏糊糊的东西沾的到处都是……啊，蹭我袜子上了……,這些黏糊糊的東西沾得到處都是……啊，蹭我襪子上了……,"This sticky stuff is everywhere... Ah, it got on my socks...",このねばねばしたもの、あちこちについてる……あ、靴下についた……,,,,,,,,
4,（阿米莉娅环顾四周）,（阿米莉婭環顧四周）,(Amelia looked around.),（アメリアは周囲を見回した）,,,,,,,,
5,连个洗澡的地方都没有吗……毛巾，浴池，随便什么布条擦一下也好啊……,連個洗澡的地方都沒有嗎……毛巾、浴池，隨便什麼布條擦一下也好啊……,"Is there not even a place to bathe... A towel, a bath, even any scrap of cloth would do...",お風呂に入る場所すらないの……タオルでも浴槽でも、適当な布で拭くだけでもいいのに……,,,,,,,,
6,现在魔女屋还在重建时期呢，那些物资还没传送过来，不嫌弃的话……,現在魔女屋還在重建時期呢，那些物資還沒傳送過來，不嫌棄的話……,"The Witch House is still being rebuilt, so those supplies have not been delivered yet. If you do not mind...",今の魔女の家はまだ再建中で、その物資はまだ転送されてきていないの。嫌じゃなければ……,,,,,,,,
7,我倒是不介意你用我擦一下哦~❤,我倒是不介意你用我擦一下哦～❤,I would not mind if you used me to wipe yourself off~❤,私で拭いてくれても、私は構わないよ～❤,,,,,,,,
8,哪天世界上所有的浴池都爆炸了我会考虑一下的。,哪天世界上所有的浴池都爆炸了我會考慮一下的。,I will consider it when every bath in the world has exploded.,世界中のお風呂が全部爆発した日には考えてあげる。,,,,,,,,
9,欸~好伤心，明明以前的阿米莉娅酱不是这样的……,欸～好傷心，明明以前的阿米莉婭醬不是這樣的……,Aww~ That hurts. The old Amelia was not like this...,えぇ～悲しい。昔のアメリアちゃんはこんな子じゃなかったのに……,,,,,,,,
10,？以前？以前的我是什么样的？,？以前？以前的我是什麼樣的？,? Before? What was I like before?,？昔？昔の私はどんな感じだったの？,,,,,,,,
11,那时候你可粘我了……天天追着我要糖吃，有心事都和我说，还……,那時候你可黏我了……天天追著我要糖吃，有心事都和我說，還……,"Back then you were so attached to me... You chased me every day asking for candy, told me all your worries, and even...",あの頃のあなたは私にべったりでね……毎日お菓子をねだって追いかけてきて、悩み事も全部話してくれて、それに……,,,,,,,,
12,还？,還？,And even?,それに？,,,,,,,,
13,还叫过我妈妈呢~❤,還叫過我媽媽呢～❤,You even called me Mom~❤,私のことをママって呼んだこともあるんだよ～❤,,,,,,,,
14,好的，我已经知道你是在胡编乱造了。,好的，我已經知道你是在胡編亂造了。,"Okay, now I know you are making it all up.",はい、全部でたらめだって分かった。,,,,,,,,
